A Cave
SURVEY NAME: A
SURVEY DATE: 1 15 2026  COMMENT:Bug 3000
SURVEY TEAM: 
Rainforst Man, Hole Bore
DECLINATION:    9.23  FORMAT: DDDDLRUDLAaDdCT  CORRECTIONS:  0.00 0.00 0.00  CORRECTIONS2:  0.00 0.00  DISCOVERY: 1 15 2026  PREFIX:

                FROM                   TO   LENGTH  BEARING      INC     LEFT       UP     DOWN    RIGHT     AZM2     INC2   FLAGS  COMMENTS

                  A0                   A1    27.26   337.00   -13.50     0.00     6.90     5.54    32.00   157.60    13.40
                  A1                   A2    26.60    10.90    -9.30     9.60     2.00     1.00    -9.90   190.80     9.30
                  A2                  A2A    16.23    10.90    -9.30     0.00     0.00     0.00     0.00  -999.00  -999.00
                  A2                  A2B    19.59    63.00     4.20     0.00     0.00     0.00     0.00  -999.00  -999.00
                  A3                   A1    19.59   358.20    10.80     0.00     0.00     0.00     0.00   178.20   -10.80
                  A3                   A4     8.89   302.70    -2.50     7.00     1.50     1.40     3.00   122.80     2.70
                  A4                   A5    18.49   162.00    14.30    -9.90    -9.90     5.00     6.40   341.80   -13.30
                  A5                   A6     9.44   229.90   -32.30     0.00     0.00     0.00     0.00    49.50    33.10
                  A5                  A5a     9.79   299.80   -28.10     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A5a                   A6     9.47   172.60    -4.10     0.00     0.00     0.00     0.00  -999.00  -999.00
                  A6                   A7     9.56   159.20   -12.30    -9.90     2.00     1.00     8.00   339.30    12.20
                  A7                   A8    15.87   218.00    13.90     0.00     2.00     2.00     4.00    37.60   -13.90
                  A8                   A9    16.60   273.90   -12.20     5.00     2.00     2.00     0.00    94.20    11.80
                  A9                  A10    21.12   197.20    -9.50    -9.90     0.00     0.00    -9.90    17.20     9.50
                 A10                 A10a    11.27   281.70   -12.40     0.00     0.00     0.00     0.00  -999.00  -999.00
                A10a                 A10b    10.73   161.30    47.90     0.00     0.00     0.00     0.00  -999.00  -999.00
                A10b                 A10c     6.85   249.30    42.10     0.00     0.00     0.00     0.00  -999.00  -999.00
                A10b                 A10d     7.28   183.60     7.50     0.00     0.00     0.00     0.00  -999.00  -999.00
                A10d                 A10e    10.32   167.60    12.10     0.00     0.00     0.00     0.00  -999.00  -999.00
                A10d                 A10f    12.36   252.40     7.80     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A10                  A11    12.88    66.70    -5.60     0.00     2.00     8.00    15.00   246.70     5.50
                 A11                  A12    16.41   177.10    33.50     0.00     0.00     0.00     0.00   357.00   -33.20
                 A12                  A13    16.33   244.10   -12.20     3.00     1.00     1.00     7.00    63.10    13.00
                 A13                  A14    14.72   209.00     3.40     5.00     1.00     1.00    -9.90    29.00    -3.40
                 A14                 A14a     8.30   286.70    -0.30     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A14                  A15    10.87   146.70    -2.70     0.00     0.00     0.00     0.00   326.50     2.60  #| #
                 A15                 A15a    16.58   107.60    -0.30     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A15                 A15b    14.58    32.40     7.00     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A15                  A16     6.67   247.10    -9.60     0.00     0.00     0.00     0.00    67.10     9.00
                 A16                 A16a    21.94   191.50     2.50     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A16                  A17    10.66   227.60   -30.50     0.00     0.00     0.00     0.00    47.90    31.60
                 A17                  A18    27.66   242.40    -4.60     0.00     0.00     0.00     0.00    62.40     4.60
                 A11                  A19    36.70    64.20    12.30     0.00     0.00     0.00     0.00   244.10   -12.00
                 A19                  A20    16.74   210.80    13.20     0.00     0.00     0.00     0.00    30.70   -13.20
                 A11                  A20    25.94    83.30    26.90     0.00     0.00     0.00     0.00   263.20   -26.80
                 A19                  A21    20.95   347.60     4.90     0.00     0.00     0.00     0.00   167.70    -4.90
                 A21                   A5     6.26   308.00    13.50     0.00     0.00     0.00     0.00   128.40   -13.60
                  A7                  A22     8.00   114.30    -6.50     0.00     0.00     0.00     0.00   294.30     6.20
                 A23                  A22     4.90    19.50   -19.40     0.00     0.00     0.00     0.00   199.50    19.40
                 A23                  A19     9.00    98.80    18.80     0.00     0.00     0.00     0.00   278.70   -18.80
                 A19                  A24    21.25   110.30     4.30     0.00     0.00     0.00     0.00   290.40    -4.20
                 A19                  A25    19.14    54.20     7.30     0.00     0.00     0.00     0.00   233.90    -7.20
                 A25                 A25a     6.83   298.50   -12.10     0.00     0.00     0.00     0.00  -999.00  -999.00
                A25a                 A25b    15.80    13.80    22.80     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A25                  A26    14.97    58.90     5.90     0.00     0.00     0.00     0.00   238.90    -5.70
                 A26                  A27     9.80   168.90     1.60     0.00     0.00     0.00     0.00   347.70    -1.20
                 A27                 A27a    10.71    59.10    -3.30     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A27                 A27b     2.99    65.10   -61.90     0.00     0.00     0.00     0.00  -999.00  -999.00
                A27b                  A24    17.80   215.20    -1.70     0.00     0.00     0.00     0.00  -999.00  -999.00
                 A26                  A28     3.94   328.50     7.00     0.00     0.00     0.00     0.00   148.40    -6.70
                 A28                  A29    11.45   344.20   -17.20     0.00     0.00     0.00     0.00   164.10    17.20
                 A29                  A30    22.62    96.00     4.30     0.00     0.00     0.00     0.00   276.10    -4.40
                 A30                  A31    10.94   246.50    14.30     0.00     0.00     0.00     0.00    66.60   -14.40
                 A31                 A28_     7.62   255.20   -11.90     0.00     0.00     0.00     0.00    75.30    11.80
                 A31                 A31a    12.55   206.80     0.50     0.00     0.00     0.00     0.00  -999.00  -999.00
